"time","i"
0.0191,-0.003137350118765689
0.0192,-0.002895726956209204
0.0193,-0.002654828338876411
0.0194,-0.002414881711284464
0.0195,-0.002176110696507453
0.0196,-0.001938734519063642
0.0197,-0.001702969846488274
0.0198,-0.001469025368789673
0.0199,-0.001237105742334943
0.02,-0.001007410306307223
0.0201,-0.0007801352080014234
0.0202,-0.0005554709459411524
0.0203,-0.0003336003799306881
0.0204,-0.0001147017169684249
0.0205,0.000101052652933446
0.0206,0.0003134927636770737
0.0207,0.0005224587443124596
0.0208,0.000727795318836165
0.0209,0.0009293533791250258
0.021,0.001126988450177442
0.0211,0.00132056108327007
0.0212,0.001509941133532789
0.0213,0.001695003461966715
0.0214,0.001875629327932117
0.0215,0.0020517032575218
0.0216,0.00222311915764394
0.0217,0.002389776876474169
0.0218,0.002551582418208225
