"time","v_C","v_S"
0.1345,1.000038875860356,1
0.1346,1.000038227283139,1
0.1347,1.000037546460693,1
0.1348,1.000036834633908,1
0.1349,1.000036093084085,1
0.135,1.000035323132944,1
0.1351,1.000034526142618,1
0.1352,1.000033703515657,1
0.1353,1.000032856695028,1
0.1354,1.000031987164111,1
0.1355,1.000031096446703,1
0.1356,1.000030186107016,1
0.1357,1.000029257749679,1
0.1358,1.000028313019735,1
0.1359,1.000027353602642,1
0.136,1.000026381224277,1
0.1361,1.000025397650929,1
0.1362,1.000024404689304,1
0.1363,1.000023404186525,1
0.1364,1.000022398030127,1
0.1365,1.000021388148065,1
0.1366,1.000020376508706,1
0.1367,1.000019303618934,1
0.1368,1.000018222282649,1
0.1369,1.000017134660785,1
0.137,1.000016042148907,1
0.1371,1.000014946161987,1
0.1372,1.000013848134411,1
0.1373,1.000012749519967,1
0.1374,1.000011651791855,1
0.1375,1.000010556442682,1
0.1376,1.000009464984463,1
0.1377,1.000008378948623,1
0.1378,1.000007299885993,1
0.1379,1.000006229366814,1
0.138,1.000005168980735,1
0.1381,1.000004120336813,1
0.1382,1.000003085063512,1
0.1383,1.000002064808706,1
0.1384,1.000001061239678,1
0.1385,1.000000076043118,1
0.1386,0.9999991109251233,1
0.1387,0.9999981676112012,1
0.1388,0.9999972478462668,1
0.1389,0.9999963533946431,1
0.139,0.9999954580072754,1
0.1391,0.9999945350823615,1
0.1392,0.9999936302556757,1
0.1393,0.9999927445296317,1
0.1394,0.9999918789035409,1
0.1395,0.9999910343736128,1
0.1396,0.9999902119329543,1
0.1397,0.9999894125715708,1
0.1398,0.9999886372763656,1
0.1399,0.9999878870311393,1
0.14,0.9999871628165911,1
0.1401,0.9999864656103178,1
0.1402,0.9999857963868138,1
0.1403,0.9999851561174724,1
0.1404,0.9999845457705838,1
0.1405,0.9999839663113363,1
0.1406,0.9999834187018166,1
0.1407,0.999982903901009,1
0.1408,0.9999824228647954,1
0.1409,0.9999819765459562,1
0.141,0.9999815658941694,1
0.1411,0.9999811846783482,1
0.1412,0.9999807770594956,1
0.1413,0.9999803962350041,1
0.1414,0.9999800423084115,1
0.1415,0.9999797153565133,1
0.1416,0.9999794154293623,1
0.1417,0.9999791425502692,1
0.1418,0.999978896715802,1
0.1419,0.9999786778957866,1
0.142,0.9999784860333067,1
0.1421,0.999978321044703,1
0.1422,0.9999781828195742,1
0.1423,0.9999780712207766,1
0.1424,0.9999779860844242,1
0.1425,0.9999779272198885,1
0.1426,0.9999778944097986,1
0.1427,0.9999778874100409,1
0.1428,0.9999779059497601,1
0.1429,0.9999779497313583,1
0.143,0.9999780184304947,1
0.1431,0.9999781116960866,1
0.1432,0.999978229150309,1
0.1433,0.9999783687971309,1
0.1434,0.999978531228762,1
0.1435,0.9999787162145732,1
0.1436,0.999978923245504,1
0.1437,0.9999791517850544,1
0.1438,0.9999794012692852,1
0.1439,0.9999796711068182,1
0.144,0.999979960678836,1
0.1441,0.9999802693390826,1
0.1442,0.9999805964138622,1
0.1443,0.9999809412020401,1
0.1444,0.9999813029750427,1
0.1445,0.9999816809768577,1
